manuskrypt ;; rękopiśmienny tekst lub dokument, niepublikowany drukiem.
obsesja ;; natrętne i uporczywe myśli, obrazy lub impulsy, które powtarzają się w umyśle danej osoby, wywołując niepokój oraz konieczność ich neutralizacji poprzez stosowanie określonych działań lub rytuałów.
amator ;; osoba lub organizacja zajmująca się jakąś dziedziną lub aktywnością jako miłośnik, a nie zawodowiec.
intencja ;; zamierzony cel lub zamiar działania, świadome dążenie do osiągnięcia określonego rezultatu.
segment ;; część większej całości, podzielona według określonych kryteriów lub cech.
ścieżka ;; wyznaczona droga lub trasa, umożliwiająca poruszanie się pieszo, rowerem lub pojazdem.
załadunek ;; czynność polegająca na umieszczaniu towarów, rzeczy lub osób na pojazd transportowy w celu przewiezienia ich z jednego miejsca do drugiego.
opiekun ;; osoba odpowiedzialna za opiekę, troskę i ochronę nad inną osobą, zwierzęciem lub mieniem.
groszek ;; mały, zielony owoc rośliny strączkowej, popularny składnik w kuchni, zawierający dużo białka i błonnika.
świeżość ;; stan cechujący się brakiem zauważalnych oznak starzenia, odświeżeniem lub nowością.
pożycie ;; działanie polegające na przekazaniu komuś na czas określony danej ilości pieniędzy lub przedmiotów, zobowiązując się do zwrotu lub zwrotu równoważnej kwoty lub przedmiotów w przyszłości.
domieszka ;; substancja dodawana do czystych materiałów lub substancji w celu zmiany ich właściwości fizycznych lub chemicznych.
zbliżenie ;; proces zbliżania się dwóch obiektów lub zjawisk w celu uzyskania lepszego ujęcia lub lepszej perspektywy.
akcesorium ;; dodatkowy element lub część wyposażenia, służący uzupełnieniu funkcji głównego przedmiotu.
nowicjat ;; okres wprowadzenia, przejścia inicjacyjnego lub treningowy etap w życiu młodego człowieka, studenta lub adeptów zakonnych, podczas którego zdobywają oni wiedzę, umiejętności i doświadczenie w danej dziedzinie.
staruszek ;; potoczne określenie starszego mężczyzny, zazwyczaj o przyjaznym i sympatycznym wyglądzie, nacechowane lekką ironią lub czułością.
nalot ;; osadzona warstwa substancji lub pyłu na powierzchni przedmiotu.
starosta ;; osoba pełniąca funkcję zarządcy w danej społeczności lokalnej, odpowiedzialna za administrowanie danym obszarem, w tym sprawy organizacyjne, finansowe i administracyjne.
łosoś ;; gatunek ryby z rodziny łososiowatych, charakteryzujący się srebrzystym ubarwieniem, różowym mięsem oraz zdolnością do wędrowania między słonym morzem a rzekami.
komtur ;; tytuł noszony przez zwierzchnika zakonu kawalerów mieczowych lub zakonu krzyżackiego.
papirus ;; roślina z rodziny obrazkowatych, a także materiał zrobiony z jej łodyg, używany głównie w starożytnym egipcie do sporządzania papieru i zwojów zapisanych tekstów.
przesiadka ;; zmiana środka transportu w trakcie podróży, zazwyczaj na inny autobus, pociąg, tramwaj, samolot itp.
asysta ;; pomoc, wsparcie lub asystowanie udzielane komuś w konkretnych działaniach lub sytuacjach.
kort ;; krótka, zazwyczaj twarda nawierzchnia służąca do gry w tenisa, squasha lub badmintona.
kołnierz ;; element odzieży, służący do ozdabiania, zabezpieczania lub usztywniania dekoltu, najczęściej uszyty z materiału i przystosowany do przylegania do szyi.
nadpobudliwość ;; stan, w którym występuje nadmierna pobudliwość psychiczna lub fizyczna, prowadząca często do trudności w skupieniu uwagi, kontrolowaniu emocji oraz zachowań impulsywnych.
niebo ;; przestrzeń nad ziemią, widoczna z powierzchni planety, na której obserwuje się gwiazdy, chmury, słońce i księżyc.
grom ;; nagły wyładowujący się w atmosferze wyładowania elektryczne, zazwyczaj w postaci błyskawicy i towarzyszącego mu dźwięku.
resocjalizacja ;; proces reintegracji społecznej osób, które popełniły przestępstwa lub miały problemy z adaptacją społeczną, mający na celu przywrócenie im zdolności do normalnego funkcjonowania w społeczeństwie.
novum ;; pojęcie stosowane w literaturze fantastycznej, oznaczające nowatorski element, innowację lub nieznane wcześniej rozwiązanie, które wprowadza nowy wymiar lub interesujący element do opowieści.
trzask ;; gwałtowny dźwięk lub odgłos wydawany przez nagłe pęknięcie lub uderzenie.
piłkarz ;; zawodnik biorący udział w grze piłkarskiej, czyli sporcie drużynowym, polegającym na kopaniu piłki nożnej w celu zdobycia gola.
trakcja ;; siła, która umożliwia przemieszczanie się pojazdu lub maszyny poprzez przyczepienie ich do środka napędowego, który zapewnia niezbędną energię do poruszania się.
sędzia ;; niezależna osoba mająca za zadanie rozstrzygać spory i konflikty zgodnie z obowiązującymi przepisami prawa.
czapka ;; nakrycie głowy, zwykle wykonane z materiału, które chroni przed zimnem lub słońcem.
fit ;; stan dobrego zdrowia fizycznego oraz kondycji, wynikający z regularnej aktywności fizycznej i zdrowego trybu życia.
audyt ;; kompleksowa ocena, badanie i analiza działań, procesów lub systemów w celu weryfikacji ich zgodności z określonymi standardami, normami lub oczekiwaniami, mająca na celu diagnozę i identyfikację ewentualnych problemów oraz proponowanie odpowiednich rozwiązań.
nur ;; niemieckie słowo oznaczające w języku polskim ""światło"" lub ""promień"". może być używane w różnych kontekstach, na przykład w odniesieniu do światła słonecznego czy również w znaczeniu metaforycznym.
technikum ;; szkoła średnia oferująca specjalistyczne kształcenie zawodowe w określonej branży, przygotowująca uczniów do pracy w konkretnym zawodzie.
góra ;; teren wyższy od otaczającej go okolicy, wzniesienie ziemi lub skał.
śmietnik ;; miejsce, gdzie gromadzone są odpady i śmieci do ich dalszego odbioru i zagospodarowania.
volvo ;; szwedzka marka samochodów znana z produkcji pojazdów charakteryzujących się wysokim standardem bezpieczeństwa i innowacyjnymi rozwiązaniami technologicznymi.
czujność ;; stan gotowości do zauważenia i reagowania na potencjalne zagrożenia lub niebezpieczeństwa.
przylądek ;; wypukły fragment lądu, wystający do morza lub oceanu.
klęska ;; nagła i poważna porażka, niepowodzenie lub katastrofa.
opolski ;; odnosi się do miasta opole lub regionu opolskiego, związany z tym obszarem geograficznym, kulturowym lub historycznym.
prawomocność ;; cecha rozstrzygnięcia lub decyzji, która nie podlega dalszemu zaskarżeniu ani zmianie.
mowa ;; zorganizowany sposób komunikacji wyrażany za pomocą dźwięków lub innych symboli, charakterystyczny dla danej społeczności lub grupy ludzi.
anons ;; krótkie ogłoszenie, zwykle informujące o jakimś wydarzeniu lub produkcie, publikowane w celu przyciągnięcia uwagi odbiorców.
widzenie ;; proces percepcji, za pomocą którego odbieramy bodźce wzrokowe za pośrednictwem oka i przetwarzamy je w mózgu, tworząc obrazy świata zewnętrznego.
miara ;; określona ilość lub wielkość służąca do określenia wartości, rozmiaru lub stosunku innych elementów.
bojkot ;; działanie polegające na zorganizowanym odmawianiu uczestnictwa w jakiejś aktywności, transakcji lub wydarzeniu w celu wyrażenia sprzeciwu lub przeciwstawienia się określonej osobie, instytucji lub idei.
nasienie ;; organ roślinny zawierający zarodek, który służy do rozmnażania się roślin.
pamięć ;; zdolność umysłu do przechowywania, przetwarzania i odzyskiwania informacji.
pianistka ;; kobieta, grająca na fortepianie, posiadająca umiejętności muzyczne w grze na tym instrumencie.
pobożność ;; postawa wynikająca z głębokiej wiary i oddania religijnego, manifestująca się w regularnym praktykowaniu obrzędów i modlitwy oraz w dbałości o zasady moralne i etyczne.
wstyd ;; negatywne i silne uczucie związane z świadomością popełnienia błędu, wykazania się nieodpowiednim zachowaniem albo złamania norm społecznych.
kapral ;; stopień wojskowy niższy od sierżanta, ale wyższy od starszego szeregowego.
tan ;; może oznaczać zarówno kąt trygonometryczny, jak i funkcję matematyczną obliczającą tę wartość.
drużyna ;; grupa osób działająca wspólnie w celu osiągnięcia określonego zadania lub celu.
lewica ;; ogół ugrupowań politycznych, społecznych i ideologicznych, które zazwyczaj opowiadają się za postępowymi reformami społecznymi, równością społeczną, interwencją państwa w gospodarkę oraz ochroną praw mniejszości i środowiska naturalnego.
redukcja ;; proces polegający na zmniejszeniu ilości, wartości lub rozmiaru czegoś.
myto ;; opłata pobierana za korzystanie z infrastruktury drogowej, zwykle generowana przez przejazd przez bramki poboru opłat na autostradach lub drogach płatnych.
grill ;; urządzenie służące do przygotowywania potraw poprzez grillowanie, czyli smażenie na ruszcie lub płycie grzewczej, zazwyczaj na otwartym ogniu lub na gorących kamieniach.
bal ;; uroczyste wydarzenie, podczas którego ludzie spotykają się zazwyczaj w eleganckich strojach, aby tańczyć, bawić się i spędzić miło czas w towarzystwie innych uczestników.
załącznik ;; dodatkowy dokument, plik lub element dołączany do głównego dokumentu w celu uzupełnienia treści lub informacji.
kropielnica ;; naczynie lub umywalka, zazwyczaj umieszczana w kościele, służąca do wylewania wody święconej dla celów liturgicznych.
słup ;; pionowy, wąski, wydłużony element konstrukcyjny lub oznaczeniowy, zwykle wykonany z betonu, metalu lub drewna.
teleskop ;; narzędzie optyczne służące do obserwacji odległych obiektów na niebie, takich jak gwiazdy, planety czy galaktyki.
człowieczeństwo ;; cecha wyrażająca ludzkie wartości, takie jak empatia, życzliwość, szacunek dla innych istot oraz troska o dobro wspólne.
puder ;; sproszkowany kosmetyk stosowany do wygładzania, matowienia lub rozświetlania skóry.
zjawisko ;; zauważalne zdarzenie lub proces zachodzący w przyrodzie lub społeczeństwie, którego można dokładnie obserwować lub zbadać.
kibic ;; osoba popierająca daną drużynę sportową lub zawodnika, aktywnie wspierająca ich podczas rozgrywek i wydarzeń sportowych.
naklejka ;; rodzaj samoprzylepnej etykiety lub okleiny, stosowanej np. do ozdobienia, oznaczenia lub zabezpieczenia przedmiotów.
snowboard ;; rodzaj sprzętu sportowego służącego do jazdy po śniegu, będący deską z wiązaniami służącą do wykonywania różnorodnych trików i manewrów.
wydra ;; ssak z rzędu drapieżnych, charakteryzujący się wodoodpornym futrem oraz umiejętnością polowania w wodzie.
oszust ;; osoba, która używa nieuczciwych metod lub działań w celu osiągnięcia korzyści lub oszukania innych.
rurociąg ;; długi, rurkowy system przewodów służący do transportu płynów, gazów lub innych substancji z jednego miejsca do drugiego.
narodziny ;; moment, w którym istota ludzka lub zwierzęca przychodzi na świat.
jadło ;; pożywienie spożywane, aby zaspokoić głód i dostarczyć organizmowi niezbędnych składników odżywczych.
przedpołudnie ;; czas od rana do południa, czyli część dnia między ranem a południem.
trial ;; is a formal examination of evidence before a judge, typically in order to determine guilt or innocence in a legal case.
wstawiennictwo ;; forma modlitwy, w której osoba pośredniczy przed bogiem za innymi osobami, prosząc o łaskę, pomoc lub przebaczenie w ich intencjach.
kawiarenka ;; niewielka kawiarnia, zwykle oferująca kawę, herbatę i lekkie przekąski, często o przytulnej atmosferze.
serum ;; część krwi, która pozostaje po jej zastygnięciu i pozbawiona jest fibrynogenu.
odmowa ;; akceptacja odmówienie spełnienia czyjegoś życzenia, prośby lub żądania.
święto ;; określony dzień obchodzony z wyjątkową uroczystością związaną z określonym wydarzeniem religijnym, historycznym lub kulturalnym.
kasyno ;; miejsce, w którym oferuje się gry hazardowe, takie jak ruletka, blackjack czy automaty do gry, z możliwością wygranej pieniężnej.
przyjaźń ;; relacja oparta na wzajemnym zaufaniu, wsparciu i sympatii między dwiema osobami.
warzywo ;; roślina lub jej część, która jest spożywana głównie jako składnik diety człowieka, dostarczająca organizmowi cennych substancji odżywczych.
przywiązanie ;; silne uczucie trwałego związku emocjonalnego lub uczuciowego między osobami lub obiektami. może się manifestować poprzez lojalność, troskę, i wzajemną więź.
szlachcic ;; osoba należąca do stanu szlacheckiego, posiadająca pewne przywileje społeczne i często dziedzicząca tytuł szlachecki.
zawieszka ;; przedmiot lub element umieszczany przy czymś, służący do zawieszania innych przedmiotów lub ozdabiania.
pasta ;; potrawa składająca się z ugotowanych makaronów wymieszanych z sosem lub innymi dodatkami, popularna w kuchni włoskiej.
cena ;; wartość wyrażona w pieniądzu, jaką trzeba zapłacić za dany produkt lub usługę.
pokrywa ;; element, który chroni lub zabezpiecza coś przed warunkami atmosferycznymi lub innymi czynnikami zewnętrznymi.
służąca ;; osoba zatrudniona do wykonywania prac domowych, opieki nad domownikami lub obsługi domu.
słońce ;; centralna gwiazda naszego układu słonecznego, emitująca światło i ciepło niezbędne do życia na ziemi.
kapitalizm ;; system gospodarczy oparty na własności prywatnej, wolnym rynku oraz zysku jako głównym motywatorem działalności gospodarczej.
ślub ;; uroczyste zawarcie związku małżeńskiego pomiędzy dwiema osobami.
konstytucyjność ;; cecha aktu prawnego polegająca na zgodności z obowiązującą konstytucją.
sito ;; narzędzie służące do przesiewania i oddzielania różnych rodzajów substancji, takich jak mąka, ziarna czy inne cząstki, na podstawie ich wielkości i kształtu.
mak ;; roślina oleista uprawiana głównie ze względu na nasiona bogate w tłuszcze, używane głównie do produkcji oleju roślinnego.
step ;; pojedynczy krok lub etap w jakimś działaniu, procesie lub sekwencji.
profit ;; nadwyżka dochodów nad kosztami, uzyskiwana przez przedsiębiorstwo lub osobę prywatną w wyniku działalności gospodarczej.
utopia ;; fikcyjne miejsce lub idea idealnego społeczeństwa, charakteryzujące się doskonałością i brakiem wad.
potyczka ;; krótka, zwykle niezbyt poważna walka lub starcie pomiędzy dwiema stronami, często bardziej symboliczna niż zdecydowanie zwycięska dla jednej ze stron.
kofeina ;; organiczny związek chemiczny z grupy alkaloidów, występujący między innymi w kawie, herbacie i napojach energetyzujących. jest popularnym środkiem pobudzającym, działającym stymulująco na układ nerwowy.
powóz ;; tradycyjna, dwukołowa, drewniana bryka, zazwyczaj zaprzężona w konie, służąca do przewozu osób lub towarów.
monolog ;; forma wypowiedzi, w której jedna osoba przemawia bez przerwy, opowiadając swoje myśli, emocje lub doświadczenia. jest to jednostronna konwersacja, w której brak udziału drugiej strony.
malina ;; jadalny owoc pochodzący z krzewu należącego do rodziny różowatych.
fraza ;; grupa wyrazów tworzących sensowne zdanie lub wypowiedzenie.
rezultat ;; efekt lub wynik osiągnięty w wyniku określonego działania lub procesu.
interakcja ;; oznacza wzajemne oddziaływanie między obiektami, osobami lub systemami, które wpływa na ich zachowanie i reakcje.
nieskuteczność ;; brak osiągnięcia zamierzonego celu lub efektu, niepowodzenie w realizacji działań lub planów.
przyzwoitość ;; zbiór norm społecznych i moralnych określających odpowiednie zachowanie i postępowanie w relacjach międzyludzkich.
wściekłość ;; intensywne i niekontrolowane uczucie gniewu, wywołane zazwyczaj przez silne emocje lub frustracje.
bom ;; skrótowa forma od słowa ""bomb"", które w języku angielskim oznacza bombę lub coś wyjątkowo udanego, fantastycznego.
blizna ;; widoczna, trwała zmiana w skórze, powstała w wyniku procesu gojenia się rany lub urazu.
